,Touches,Goal Rate,Assist Rate,Pass Rate,Shot Rate,
Jake Bernhardt,,,,,,
Chrome logo,41,0.00%,2.44%,97.56%,0.00%,2.44%
Nick Grill,,,,,,
Cannons logo,40,2.50%,0.00%,87.50%,5.00%,7.50%
Ethan Rall,,,,,,
Redwoods logo,40,0.00%,0.00%,87.50%,2.50%,10.00%
Chris Merle,,,,,,
Chaos logo,39,7.69%,0.00%,61.54%,25.64%,12.82%
CJ Costabile,,,,,,
Waterdogs logo,38,0.00%,0.00%,89.47%,5.26%,5.26%
Alex Mazzone,,,,,,
Waterdogs logo,37,0.00%,0.00%,94.59%,2.70%,2.70%
Chris Sabia,,,,,,
Cannons logo,36,5.56%,2.78%,69.44%,25.00%,5.56%
Matt Rees,,,,,,
Chrome logo,36,2.78%,2.78%,61.11%,19.44%,19.44%
Eli Salama,,,,,,
Archers logo,36,0.00%,0.00%,94.44%,0.00%,5.56%
Matt McMahon,,,,,,
Whipsnakes logo,35,2.86%,2.86%,85.71%,14.29%,0.00%
Colin Squires,,,,,,
Waterdogs logo,34,5.88%,5.88%,88.24%,11.76%,0.00%
Jeff Conner,,,,,,
Redwoods logo,33,3.03%,3.03%,75.76%,15.15%,9.09%
John Sexton,,,,,,
Whipsnakes logo,32,34.38%,46.88%,996.88%,96.88%,34.38%
Jackson Morrill,,,,,,
Waterdogs logo,31,6.45%,0.00%,83.87%,6.45%,9.68%
Eli Gobrecht,,,,,,
Atlas logo,31,0.00%,0.00%,80.65%,9.68%,9.68%
Peter Dearth,,,,,,
Cannons logo,30,0.00%,0.00%,96.67%,3.33%,0.00%
Adam Ghitelman,,,,,,
Archers logo,28,3.57%,0.00%,71.43%,25.00%,3.57%
Connor DeSimone,,,,,,
Redwoods logo,28,3.57%,0.00%,82.14%,7.14%,10.71%
Ryan Kennedy,,,,,,
Chrome logo,27,3.70%,0.00%,55.56%,22.22%,22.22%
Cole Williams,,,,,,
Archers logo,27,3.70%,0.00%,85.19%,11.11%,3.70%
Jon Robbins,,,,,,
Atlas logo,27,0.00%,0.00%,96.30%,0.00%,3.70%
Tucker Durkin,,,,,,
Waterdogs logo,26,3.85%,3.85%,69.23%,23.08%,7.69%
Ryland Rees,,,,,,
Cannons logo,24,0.00%,0.00%,91.67%,0.00%,8.33%
Craig Chick,,,,,,
Cannons logo,24,0.00%,4.17%,70.83%,12.50%,16.67%
Stephen Kelly,,,,,,
Whipsnakes logo,23,0.00%,4.35%,86.96%,0.00%,13.04%
Brett Kennedy,,,,,,
Cannons logo,22,0.00%,0.00%,90.91%,0.00%,9.09%
Jake Pulver,,,,,,
Chrome logo,22,0.00%,0.00%,95.45%,0.00%,4.55%
Owen McElroy,,,,,,
Chaos logo,22,4.55%,0.00%,77.27%,18.18%,4.55%
Kevin Lindley,,,,,,
